,Ligand_name,Pose_count
828,CHEMBL3764306,1
829,CHEMBL5201984,0
830,CHEMBL4573441,0
831,CHEMBL123937,0
832,CHEMBL563247,0
833,CHEMBL3409246,0
834,CHEMBL3676919,0
835,CHEMBL1130,0
836,CHEMBL3819494,0
837,CHEMBL593745,0
838,CHEMBL110120,1
839,CHEMBL219179,1
840,CHEMBL140594,0
841,CHEMBL412665,0
842,CHEMBL5178688,0
843,CHEMBL378680,0
844,CHEMBL4855891,0
845,CHEMBL4447594,0
846,CHEMBL327245,0
847,CHEMBL3358099,0
848,CHEMBL4528793,0
849,CHEMBL4090568,0
850,CHEMBL460644,0
851,CHEMBL423659,0
852,CHEMBL1712923,0
853,CHEMBL1944695,0
854,CHEMBL309727,0
855,CHEMBL78791,0
856,CHEMBL197381,0
857,CHEMBL2298806,0
858,CHEMBL4100263,0
859,CHEMBL91362,0
860,CHEMBL2386611,0
861,CHEMBL4442408,3
862,CHEMBL86060,0
863,CHEMBL238718,0
864,CHEMBL198812,0
865,CHEMBL328114,0
866,CHEMBL552268,0
867,CHEMBL2298817,0
868,CHEMBL302796,0
869,CHEMBL1945037,0
870,CHEMBL3597649,1
871,CHEMBL541817,0
872,CHEMBL3423335,0
873,CHEMBL303538,0
874,CHEMBL3818805,0
875,CHEMBL393774,1
876,CHEMBL3605331,0
877,CHEMBL147011,0
878,CHEMBL543277,0
879,CHEMBL1087454,0
880,CHEMBL4800575,0
881,CHEMBL4755563,0
882,CHEMBL3769836,3
883,CHEMBL3819403,0
884,CHEMBL216393,0
885,CHEMBL3102875,1
886,CHEMBL1807832,0
887,CHEMBL2029930,0
888,CHEMBL150129,0
889,CHEMBL443567,0
890,CHEMBL4748858,0
891,CHEMBL135357,0
892,CHEMBL337228,1
893,CHEMBL1257615,0
894,CHEMBL4846823,1
895,CHEMBL95,0
896,CHEMBL4286905,0
897,CHEMBL363548,0
898,CHEMBL4797752,0
899,CHEMBL2299004,0
900,CHEMBL544451,0
901,CHEMBL542324,0
902,CHEMBL4643450,0
903,CHEMBL3774649,1
904,CHEMBL98241,0
905,CHEMBL2037523,0
906,CHEMBL239917,0
907,CHEMBL199876,0
908,CHEMBL4530770,0
909,CHEMBL2146597,0
910,CHEMBL3676871,1
911,CHEMBL1689012,0
912,CHEMBL4475406,0
913,CHEMBL220808,0
914,CHEMBL405292,0
915,CHEMBL321513,1
916,CHEMBL9514,0
917,CHEMBL3588919,0
918,CHEMBL3588984,0
919,CHEMBL293341,0
920,CHEMBL4846638,1
921,CHEMBL244162,1
922,CHEMBL79098,1
923,CHEMBL24051,0
924,CHEMBL69356,0
925,CHEMBL519103,0
926,CHEMBL147483,0
927,CHEMBL3676861,0
928,CHEMBL197839,1
929,CHEMBL93336,1
930,CHEMBL97149,0
931,CHEMBL416523,1
932,CHEMBL160626,0
933,CHEMBL176109,0
934,CHEMBL1257859,0
935,CHEMBL1257263,0
936,CHEMBL241103,1
937,CHEMBL3763633,0
938,CHEMBL3676884,0
939,CHEMBL4864366,0
940,CHEMBL71208,0
941,CHEMBL3642805,0
942,CHEMBL2298801,0
943,CHEMBL4853993,0
944,CHEMBL165047,0
945,CHEMBL1258383,0
946,CHEMBL4576998,0
947,CHEMBL496739,0
948,CHEMBL4097669,0
949,CHEMBL4794406,0
950,CHEMBL208018,0
951,CHEMBL240839,0
952,CHEMBL306830,0
953,CHEMBL1940403,0
954,CHEMBL196172,0
955,CHEMBL394019,0
956,CHEMBL458354,0
957,CHEMBL4456585,0
958,CHEMBL1258087,0
959,CHEMBL3676886,0
960,CHEMBL4443848,0
961,CHEMBL1771107,0
962,CHEMBL357448,0
963,CHEMBL1223683,0
964,CHEMBL390649,0
965,CHEMBL3318845,0
966,CHEMBL4525545,0
967,CHEMBL68191,1
968,CHEMBL29435,0
969,CHEMBL2430440,0
970,CHEMBL3597645,0
971,CHEMBL4455845,0
972,CHEMBL330865,1
973,CHEMBL3133866,0
974,CHEMBL5206565,0
975,CHEMBL1774542,1
976,CHEMBL4848199,0
977,CHEMBL197968,0
978,CHEMBL4070091,0
979,CHEMBL1627305,1
980,CHEMBL1627307,0
981,CHEMBL273921,0
982,CHEMBL561763,0
983,CHEMBL21205,0
984,CHEMBL4857597,0
985,CHEMBL430371,0
986,CHEMBL129263,0
987,CHEMBL255163,0
988,CHEMBL71894,0
989,CHEMBL371628,1
990,CHEMBL4575347,0
991,CHEMBL241026,0
992,CHEMBL49502,0
993,CHEMBL3903560,0
994,CHEMBL4456964,1
995,CHEMBL4581907,0
996,CHEMBL2298799,0
997,CHEMBL1774385,1
998,CHEMBL3676890,0
999,CHEMBL4754363,0
1000,CHEMBL200024,0
1001,CHEMBL3597652,1
1002,CHEMBL77743,1
1003,CHEMBL129757,0
1004,CHEMBL3409248,0
1005,CHEMBL150210,0
1006,CHEMBL4475608,0
1007,CHEMBL129852,0
1008,CHEMBL3920252,0
1009,CHEMBL488,1
1010,CHEMBL4519087,0
1011,CHEMBL310311,0
1012,CHEMBL1258999,0
1013,CHEMBL565553,1
1014,CHEMBL214247,1
1015,CHEMBL70215,0
1016,CHEMBL3775737,1
1017,CHEMBL3695414,1
1018,CHEMBL346512,1
1019,CHEMBL125525,0
1020,CHEMBL4750607,0
1021,CHEMBL400827,0
1022,CHEMBL3289949,0
1023,CHEMBL4546749,2
1024,CHEMBL211539,0
1025,CHEMBL3588918,0
1026,CHEMBL3676923,0
1027,CHEMBL70267,0
1028,CHEMBL558551,0
1029,CHEMBL382748,1
1030,CHEMBL108261,0
