SMILES,Name
c1ccc(Nc2nc(-c3ccc4[nH]ncc4c3)cs2)cc1,AKT1_141
Cn1cc(-c2ccc(F)c(C(F)(F)F)c2)nc1C1CCN(c2ncnc(N)c2-c2ccc(N)nc2)CC1,AKT1_142
NC(=O)c1cnc(N[C@H]2CC[C@H](N)CC2)c2nc(-c3ccc(Cl)cc3)cn12,AKT1_143
Cc1n[nH]c2cnc(-c3cncc(OC[C@@H](N)Cc4cccc(F)c4)c3)cc12,AKT1_144
Cc1cc(C)cc(C(=O)NC(=S)Nc2cc(-c3ccccc3)ccc2O)c1,AKT1_145
COc1nc(C(N)=O)cn2c(-c3ccccc3)c(-c3ccc(C4(N)CCC4)cc3)nc12,AKT1_146
O=S(=O)(c1cccc2cnccc12)N1CCCNCC1,AKT1_147
O=C(N[C@H]1CC[C@H](O)CC1)c1ccc2c(c1)Cc1c(-c3ccc(-c4ccc(O)cc4)cc3)n[nH]c1-2,AKT1_148
N[C@H](COc1cncc(-c2ccc3c(F)nccc3c2)c1)Cc1c[nH]c2ccccc12,AKT1_149
O=S(=O)(O)c1ccc(NCc2ccc3c(c2)OCO3)c2c(O)cccc12,AKT1_150
O=C(NCCc1ccc(-c2nnc3n2-c2cccnc2Nc2ccccc2-3)cc1)c1ccccc1,AKT1_151
Cn1ncc(Cl)c1-c1coc(C(=O)NC2(c3ccc(F)cc3)CCNCC2)c1,AKT1_152
N[C@H](CCc1cc(-c2ccc3cnccc3c2)no1)Cc1ccc(C(F)(F)F)cc1,AKT1_153
NC(=O)c1ccc(N2CCN(c3cccc(F)c3)CC2)c2cncnc12,AKT1_154
Cc1n[nH]c2ccc(-c3cncc(OC[C@@H](N)Cc4cccc(Cl)c4Cl)c3)cc12,AKT1_155
CCC1CN(c2cc(=O)[nH]c(CC(=O)Nc3ccc(F)cc3)n2)CCO1,AKT1_156
N[C@H](Cc1ccc(C(F)(F)F)cc1)C(=O)N1CCN(c2ncnc3ccccc23)CC1,AKT1_157
Cc1n[nH]c2ccc(-c3cncc(OC[C@@H](N)Cc4cccc(I)c4)c3)cc12,AKT1_158
